COMPTE,SUJET,ENTITE__APPORTEUR,LEAD__RESP,ASSOCIE,STEP,PROB,SELL_ON,CODE_TOTEM,CA_BT__N__KE,CA_SST_INTERNE__N__KE,CA_SST_EXTERNE__N__KE,CA_MARKUP__N__KE,DONT_PCA__N_MOINS_1___KE,CA__N_PLUS_1___KE,COMMENTAIRES,DATE_DE_DEBUT_PREVUE_MISSION,OFFRE_PRINCIPALE,SECTEUR,GROUPE,TOTAL_CA_VENDU_N__KE,CA_BT_PONDERE__N__KE,D_QUALIF,D_DEBUT_REDACT°_PROPALE,D_ENVOI__PROPALE,D_GAIN,D_CLOTURE__PERTE,WEEK,DATE_REF
Accor,Stratégie Infrastructure Cloud,WBT,----,OGR,0 - A qualifier,0.2,Oui,NA,10.0,NA,NA,NA,NA,NA,OGR - Doc émis 12/10,2017-01-01T00:00:00Z,ETM,Service,Accor,10.0,2.0,NA,2016-12-20T00:00:00Z,NA,NA,2016-09-23T00:00:00Z,1.0,2017-01-01
Adeo,IIF - Cadrage maturité digitale collaborateurs,WBT,MLA,MMO,3 - Emise,0.4,Non,NA,250.0,NA,NA,NA,NA,NA, 4 sociétés consultées ; Décision reportée à fin Janvier / Début Février suite à changement de configuration projet,2017-02-15T00:00:00Z,Digital Innovation,Service,Adeo,250.0,100.0,NA,2016-10-11T00:00:00Z,2016-11-15T00:00:00Z,NA,NA,1.0,2017-01-01
Advitam,Schéma Directeur Numérique,WBT,JDO,BES,4 - Gagnée,1.0,Non,ADVI001,102.564,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Industrie & services,Advitam,102.564,102.564,NA,2016-03-24T00:00:00Z,2016-04-04T00:00:00Z,2016-06-21T00:00:00Z,NA,1.0,2017-01-01
Advitam,Pilotage de la transformation numérique,WBT,JDO,BES,2 - A émettre,0.6,Oui,ADVI001,200.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,Data,Industrie & services,Avitam,200.0,120.0,NA,2016-11-22T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AG2R,Datalab avec Quinten,WBT,JDO,BES,2 - A émettre,0.6,Non,NA,50.0,NA,NA,NA,NA,NA,"Début de mission en février, confirmation 2eme quinzaine de janvier",2017-01-01T00:00:00Z,Data,Assurance,AG2R,50.0,30.0,NA,2016-11-22T00:00:00Z,NA,NA,NA,1.0,2017-01-01
Ag2R,Priorités de la Direction de l'innovation ,Airmis,MLA,MMO,3 - Emise,0.4,Non,NA,25.0,NA,NA,NA,NA,NA,Report à Janvier suite à l'arrivée d'un nouveau Directeur Digital et Innovation,2017-02-01T00:00:00Z,Digital Innovation,Assurance,AG2R,25.0,10.0,NA,NA,2016-12-02T00:00:00Z,NA,NA,1.0,2017-01-01
Akiem,Refonte processus  & SI Akiem (sell on),WIES,MSU,OGR,3 - Emise,0.4,Oui,NA,10.0,NA,NA,NA,NA,NA,Closing 2016 : RDV soutenance like le 16/11 par IES,2017-01-01T00:00:00Z,ETM,Para-public,SNCF,10.0,4.0,2016-04-07T00:00:00Z,2016-04-07T00:00:00Z,2016-11-16T00:00:00Z,2016-06-09T00:00:00Z,NA,1.0,2017-01-01
Akiem,CDP Technique transformation SI,WIES,MLO,OGR,0 - A qualifier,0.4,Oui,WM/AKIXXX,32.0,NA,NA,NA,NA,NA,"Sell on mission schéma directeur IT, besoin accompagnement CDP technique / architecte en binome avec un CDP métier coté IES",2017-01-01T00:00:00Z,ETM,Para-public,SNCF,32.0,12.8,NA,NA,NA,NA,NA,1.0,2017-01-01
Altarea,Audit SI ,WBT,----,JSO,0 - A qualifier,0.2,Oui,NA,50.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Industrie & services,Altarea,50.0,10.0,2016-10-07T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
Altarea,Transformation digitale,WBT,MLA,JSO/MMO,3 - Emise,0.4,Oui,NA,120.0,NA,NA,NA,NA,NA,Processus de décision lent et évolution du besoin client par rapport à la demande initale ; Report à 2017,2017-01-15T00:00:00Z,Digital Innovation,Industrie & services,Altarea,120.0,48.0,2016-11-04T00:00:00Z,2016-11-07T00:00:00Z,2016-11-14T00:00:00Z,NA,NA,1.0,2017-01-01
Aperam,Coaching cellule architecture - T1 2017,WIES,JPG,OGR,2 - A émettre,0.6,Non,NA,100.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Industrie & services,ArcelorMittal,100.0,60.0,NA,2016-12-12T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA Banque,Mise en place roadmap digitale (T1 2017),WBT,MBO,MMO,1 - Qualifiée,0.6,Non,NA,50.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Banque,AXA,50.0,30.0,2016-12-09T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Support au pôle architecture T4 S016,WBT,JLF,ORE,4 - Gagnée,1.0,Non,AXA047,NA,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,0.0,0.0,2016-08-26T00:00:00Z,2016-09-02T00:00:00Z,2016-09-16T00:00:00Z,2016-09-20T00:00:00Z,NA,1.0,2017-01-01
AXA CS,Besoins Data à qualifier,WBT,JPG,BES,0 - A qualifier,0.2,Non,NA,20.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Assurance,AXA,20.0,4.0,NA,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Architecture solution T4 S016,WBT,JLF,ORE,4 - Gagnée,1.0,Oui,AXA047,NA,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,0.0,0.0,2016-07-25T00:00:00Z,2016-07-25T00:00:00Z,NA,2016-07-25T00:00:00Z,NA,1.0,2017-01-01
AXA CS,IDF - Séminaire structuration du catalogue de services,WBT,JPG,ORE,2 - A émettre,0.6,Non,AXA047,5.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,5.0,3.0,2016-10-13T00:00:00Z,2016-10-13T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA CS,IIF - IDF - Hacking Days pour valoriser vos hauts potentiels ,WBT,MBO,ORE,2 - A émettre,0.6,Non,NA,55.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Assurance,AXA,55.0,33.0,2016-10-26T00:00:00Z,2016-11-02T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Budget weave sur AXA CS 2017 hors régie ,WBT,JLF,ORE,0 - A qualifier,0.4,Oui,AXACSX,250.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,250.0,100.0,NA,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - IT Service Manager en régie (6 mois),WBT,JLF,ORE,0 - A qualifier,0.2,Non,AXACSX,102.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,102.0,20.400000000000002,2016-11-10T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - CP technique international T1 2017 (SST ext),WBT,JLF,ORE,2 - A émettre,0.4,Oui,AXACSX,48.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,48.0,19.200000000000003,2016-11-10T00:00:00Z,2016-11-11T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Architecture solution T1 2017,WBT,JLF,ORE,4 - Gagnée,1.0,Oui,AXACSX,47.85,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,47.85,47.85,2016-10-25T00:00:00Z,2016-10-25T00:00:00Z,NA,2016-11-11T00:00:00Z,NA,1.0,2017-01-01
AXA CS,IDF - Support au pôle architecture T1 2017,WBT,JLF,ORE,4 - Gagnée,1.0,Oui,AXACSX,17.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Assurance,AXA,17.0,17.0,2016-10-25T00:00:00Z,2016-10-25T00:00:00Z,NA,2016-11-11T00:00:00Z,NA,1.0,2017-01-01
AXA CS,IDF - Outillage DOSI suivi TCO - mise en place,WBT,JLF,ORE,1 - Qualifiée,0.4,Oui,AXACSX,30.0,NA,NA,NA,NA,NA,NA,2017-02-01T00:00:00Z,ETM,Assurance,AXA,30.0,12.0,2016-11-11T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - IT Strategy Planning 2017 en mode anticipé et continue,WBT,JLF,ORE,0 - A qualifier,0.4,Oui,AXACSX,70.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,ETM,Assurance,AXA,70.0,28.0,2016-11-10T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - POC underwritting,WBT,JLF,ORE,0 - A qualifier,0.2,Oui,AXACSX,60.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,ETM,Assurance,AXA,60.0,12.0,2016-11-10T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Mise à jour du framework et du référentiel d’architecture ,WBT,JLF,ORE,1 - Qualifiée,0.4,Oui,AXACSX,50.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,ETM,Assurance,AXA,50.0,20.0,2016-11-11T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Support au pôle architecture T2 2017,WBT,JLF,ORE,1 - Qualifiée,0.4,Oui,AXACSX,85.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,ETM,Assurance,AXA,85.0,34.0,2016-10-25T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Architecture solution T2 2017,WBT,JLF,ORE,2 - A émettre,0.4,Oui,AXACSX,37.41,NA,NA,NA,NA,NA,NA,2017-04-01T00:00:00Z,ETM,Assurance,AXA,37.41,14.963999999999999,2016-10-25T00:00:00Z,2016-11-11T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - CP technique international T2 2017 (SST ext),WBT,JLF,ORE,2 - A émettre,0.2,Oui,AXACSX,48.0,NA,NA,NA,NA,NA,NA,2017-04-01T00:00:00Z,ETM,Assurance,AXA,48.0,9.600000000000001,2016-11-10T00:00:00Z,2016-11-11T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Architecture Dashboard pour CIO,WBT,JLF,ORE,1 - Qualifiée,0.4,Oui,AXACSX,30.0,NA,NA,NA,NA,NA,NA,2017-05-01T00:00:00Z,ETM,Assurance,AXA,30.0,12.0,2016-11-11T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Architecture solution T3 2017,WBT,JLF,ORE,2 - A émettre,0.4,Oui,AXACSX,37.41,NA,NA,NA,NA,NA,NA,2017-07-01T00:00:00Z,ETM,Assurance,AXA,37.41,14.963999999999999,2016-10-25T00:00:00Z,2016-11-11T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA CS,IDF - Architecture solution T4 2017,WBT,JLF,ORE,2 - A émettre,0.4,Oui,AXACSX,42.63,NA,NA,NA,NA,NA,NA,2017-10-01T00:00:00Z,ETM,Assurance,AXA,42.63,17.052000000000003,2016-10-25T00:00:00Z,2016-11-11T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA France,PO Data Client - suite,WBT,JDO,JSO,4 - Gagnée,1.0,Oui,AXAbbb,70.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Assurance,AXA,70.0,70.0,2016-11-22T00:00:00Z,2016-11-22T00:00:00Z,NA,2016-12-08T00:00:00Z,NA,1.0,2017-01-01
AXA FRance,Dispostitf Data Client Suite,WBT,JDO,JSO,3 - Emise,0.6,Oui,AXAccc,276.0,NA,NA,NA,NA,NA,"Complément du staffing pour S1 de JDO / MDU
Nouveaux staffing de NSU sur S1",NA,Data,Assurance,AXA,276.0,165.6,2016-12-13T00:00:00Z,2016-12-16T00:00:00Z,2016-12-16T00:00:00Z,NA,NA,1.0,2017-01-01
Banque de France,Refonte Catalogue de services,WBT,OGR,OGR,1 - Qualifiée,0.2,Non,NA,100.0,NA,NA,NA,NA,NA,OGR 9.02 : Date de revue client à caler pour GO de principe with Airmis (capitalisation sur E. Seguin) ,2017-01-01T00:00:00Z,ETM,Banque,Banque de France,100.0,20.0,NA,NA,NA,NA,NA,1.0,2017-01-01
Banque de France,Evolution cadre de référence  S2 2016,WBT,MLO,OGR,4 - Gagnée,1.0,Oui,BDF001,40.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Banque,Banque de France,40.0,40.0,NA,NA,2016-02-27T00:00:00Z,2016-09-07T00:00:00Z,NA,1.0,2017-01-01
Banque de France,Cadrage Data Lake ,WBT,MLO,OGR,4 - Gagnée,1.0,Oui,BDF001,53.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Banque,Banque de France,53.0,53.0,NA,NA,2016-02-27T00:00:00Z,2016-09-07T00:00:00Z,NA,1.0,2017-01-01
Banque de France,Evolution cadre de référence  S2 2016,WBT,MLO,OGR,1 - Qualifiée,0.6,Oui,BDF001,57.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Banque,Banque de France,57.0,34.199999999999996,NA,NA,2016-02-27T00:00:00Z,2016-09-07T00:00:00Z,NA,1.0,2017-01-01
Banque Privée 1818,Innovation et Transformation Digitale,WBT,JSO,MMO,0 - A qualifier,0.0,Non,NA,20.0,NA,NA,NA,NA,NA,JSO : Requalifier le besoin avec la cliente,2017-01-01T00:00:00Z,Digital Innovation,Banque,BPCE,20.0,0.0,NA,NA,NA,NA,2016-09-19T00:00:00Z,1.0,2017-01-01
Banque Privée 1818,Suites Digital Day,WBT,MBO,MMO,0 - A qualifier,0.2,Oui,BPXXXX,48.0,NA,NA,NA,NA,NA,SMA : propale envoyé le 16/09/2016,2017-01-01T00:00:00Z,Digital Innovation,Banque,BPCE,48.0,9.600000000000001,NA,NA,2016-09-16T00:00:00Z,NA,NA,1.0,2017-01-01
Banque Privée 1818,Connaissance client et programme relationnel,WBT,SMA,MMO,3 - Emise,0.4,Non,BPXXXX,48.0,NA,NA,NA,NA,NA,"Closing2016/0411 : Proposition appréciée mais peu challengée à l’oral, contexte politique compliqué, avec plusieurs directions à mobiliser pour sponsoriser le projet. ",2017-01-01T00:00:00Z,Digital Innovation,Banque,BPCE,48.0,19.200000000000003,NA,NA,2016-09-16T00:00:00Z,NA,NA,1.0,2017-01-01
BNPP - BDDF,Cadrage et mise en oeuvre appllication mobile salariés,WBT,SMA,BES,1 - Qualifiée,0.4,Oui,BNPyyy,70.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Banque,BNP Paribas,70.0,28.0,2016-11-07T00:00:00Z,2016-11-08T00:00:00Z,NA,NA,NA,1.0,2017-01-01
BNPP - BDDF - DR IDF,"Dataviz données ""France""",WBT,JDO,BES,0 - A qualifier,0.4,Oui,NA,100.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Banque,BNP Paribas,100.0,40.0,NA,NA,NA,NA,NA,1.0,2017-01-01
BNPP - BDDF - DR IDF,"Dataviz données ""International""",WBT,SMA,BES,0 - A qualifier,0.2,Oui,NA,15.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Banque,BNP Paribas,15.0,3.0,NA,NA,NA,NA,NA,1.0,2017-01-01
BNPP - BDDF - DR IDF,Dataviz données DR - Industrialisation,WBT,JDO,BES,2 - A émettre,0.8,Non,BNPuuu,90.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Banque,BNP Paribas,90.0,72.0,NA,2016-11-23T00:00:00Z,NA,NA,NA,1.0,2017-01-01
BNPP - Digital Working,Big Data et Compliance,WBT,SMA,BES,0 - A qualifier,0.2,Non,BNPxxx,60.0,NA,NA,NA,NA,NA,BES 11.03 : Réponse le 16/03,2017-01-01T00:00:00Z,Data,Banque,BNP Paribas,60.0,12.0,NA,2016-03-07T00:00:00Z,2016-09-06T00:00:00Z,NA,NA,1.0,2017-01-01
BNPP - IRB Lab Innovation,Assitance à la mise en place d'un Lab Innovation,WBT,BMO,GCH,0 - A qualifier,0.2,Non,NA,20.0,NA,NA,NA,NA,NA,"PC BMO : Première version doc produite (GCH, BMO)",2017-01-01T00:00:00Z,Data,Banque,BNP Paribas,20.0,4.0,NA,NA,NA,NA,NA,1.0,2017-01-01
Bouygues Immobilier,Atelier de restitution de la Fiction,WBT,MLA,ORE,2 - A émettre,0.6,Oui,ATRxxx,5.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Industrie & services,Bouygues,5.0,3.0,NA,2016-11-15T00:00:00Z,NA,NA,NA,1.0,2017-01-01
BPCE - Caisse d'Epargne,Datalab - Evolution moteur de recommandation - lot 3,WBan,JDO,BES,3 - Emise,0.4,Oui,NA,25.0,NA,NA,NA,NA,NA,Sell on sur le moteur de recommandation pour optimiser les performances - Data Externe,2017-01-01T00:00:00Z,Data,Banque,BPCE,25.0,10.0,2016-10-05T00:00:00Z,2016-10-08T00:00:00Z,2016-10-12T00:00:00Z,NA,NA,1.0,2017-01-01
BPCE - Caisse d'Epargne,Datalab - Evolution moteur de recommandation - lot 2,WBan,JDO,BES,3 - Emise,0.4,Oui,NA,45.0,NA,NA,NA,NA,NA,Sell on sur le moteur de recommandation pour optimiser les performances - produit optionnés,2017-01-01T00:00:00Z,Data,Banque,BPCE,45.0,18.0,2016-10-05T00:00:00Z,2016-10-08T00:00:00Z,2016-11-09T00:00:00Z,NA,NA,1.0,2017-01-01
BPCE - Caisse d'Epargne,Datalab - Evolution moteur de recommandation - lot 1,WBan,JDO,BES,3 - Emise,0.4,Oui,WFS/CERAxxx,30.0,NA,NA,NA,NA,NA,"Closing2016/0411 : Retour semaine du 7 novembre
08/11 - JDO : Retour client qui souhaite partager un bilan des premiers tests avant de lancer la suite des travaux. Diminution de la probabilité à 40%",2017-01-01T00:00:00Z,Data,Banque,BPCE,30.0,12.0,2016-10-05T00:00:00Z,2016-10-08T00:00:00Z,2016-10-19T00:00:00Z,NA,NA,1.0,2017-01-01
BSCC,Prévi IDF S2 2016,WBT,ASA,OGR,3 - Emise,0.8,Oui,LPC027,35.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Para-public,La Poste,35.0,28.0,NA,2016-07-15T00:00:00Z,2016-08-26T00:00:00Z,2016-07-11T00:00:00Z,NA,1.0,2017-01-01
BSCC,Pipe IDF 2017,WBT,ASA,OGR,1 - Qualifiée,0.4,Oui,LPC027,150.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Para-public,La Poste,150.0,60.0,2016-05-23T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
BSCC,Ferme IDF  T4 2016,WBT,ASA,OGR,4 - Gagnée,1.0,Oui,LPC027,20.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Para-public,La Poste,20.0,20.0,NA,NA,2016-10-01T00:00:00Z,2016-10-01T00:00:00Z,NA,1.0,2017-01-01
BSCC,Pipe 2017,WBT,ASA,OGR,1 - Qualifiée,0.4,Oui,LPCxxx,152.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Para-public,La Poste,152.0,60.800000000000004,2016-11-22T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
BSCC,Projet Facteur Graine,WBT,MSU,MMO,1 - Qualifiée,0.6,Oui,LPCxxx,30.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Para-public,La Poste,30.0,18.0,2016-12-05T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
BSCC,Prévi T1 2017,WBT,ASA,OGR,1 - Qualifiée,0.6,Oui,LPCxxx,100.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Para-public,La Poste,100.0,60.0,2016-11-22T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
BSCC,Ferme T1 2017,WBT,ASA,OGR,4 - Gagnée,1.0,Oui,LPCxxx,134.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Para-public,La Poste,134.0,134.0,2016-12-13T00:00:00Z,NA,NA,2016-12-13T00:00:00Z,NA,1.0,2017-01-01
BSCC,Suites Cadrage Marketplace,WBT,MMO,MMO,0 - A qualifier,0.2,Oui,NA,30.0,NA,NA,NA,NA,NA,A statuer suite à réunion MSU du 9/12,2017-01-15T00:00:00Z,Digital Innovation,Para-public,La ¨Poste,30.0,6.0,NA,NA,NA,NA,NA,1.0,2017-01-01
Carrefour Dubai,Moteur de recommandation Promotions,WBT,JVE,BES,2 - A émettre,0.4,Oui,NA,40.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Service,Carrefour,40.0,16.0,NA,2016-11-22T00:00:00Z,NA,NA,NA,1.0,2017-01-01
Chanel,IIF - Initiatives 2017,WBT,MBO,MMO,0 - A qualifier,0.2,Oui,NA,30.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Service,Chanel,30.0,6.0,NA,NA,NA,NA,NA,1.0,2017-01-01
Chanel,Chanel - Conception myAccount - T1 2017,WBT,MMO,MMO,2 - A émettre,0.8,Oui,CHA006,93.0,NA,NA,NA,NA,NA,Hyp : MSA 50% + Cons. 100%,2017-01-02T00:00:00Z,Digital Innovation,Service,Chanel,93.0,74.4,2016-11-28T00:00:00Z,2016-12-07T00:00:00Z,NA,NA,NA,1.0,2017-01-01
Choice Hotels,Refonte programme de fidélité - Prototypge de l'expérience,WBT,JVE,BES,2 - A émettre,0.4,Non,NA,40.0,NA,NA,NA,NA,NA,NA,2017-02-01T00:00:00Z,Data,Service,Choice Hotels,40.0,16.0,2017-01-01T00:00:00Z,2017-01-01T00:00:00Z,NA,NA,NA,1.0,2017-01-01
CNP,IIF - Boîte à outil managériale,WAss,MBO,NA,3 - Emise,0.4,Non,NA,20.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Assurance,CNP,20.0,8.0,NA,NA,2016-12-12T00:00:00Z,NA,NA,1.0,2017-01-01
CNP,Dataviz DSI,WBT,JDO,BES,3 - Emise,0.8,Non,CNPxxx,45.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Assurance,CNP,45.0,36.0,2016-12-01T00:00:00Z,2016-12-09T00:00:00Z,2016-12-09T00:00:00Z,NA,NA,1.0,2017-01-01
Compass,Cadrage Refonte Portail d'entreprise,WBT,----,MMO,3 - Emise,0.4,Non,NA,50.0,NA,NA,NA,NA,NA,Nouvelle version envoyée le 8/12,2017-01-01T00:00:00Z,Digital Innovation,Industrie & services,Compass,50.0,20.0,2016-11-02T00:00:00Z,2016-11-07T00:00:00Z,2016-12-08T00:00:00Z,NA,NA,1.0,2017-01-01
Covea,Atelier Design Fiction,WBT,MLA,ORE,3 - Emise,0.6,Non,NA,10.0,NA,NA,NA,NA,NA,Lead : Frédéric Offner,2017-01-01T00:00:00Z,Digital Innovation,Assurance,Covea,10.0,6.0,NA,NA,2016-12-12T00:00:00Z,NA,NA,1.0,2017-01-01
Covea,Covea - DGTSI - Jean-Claude Saussaye / Philippe Mazo,WBT,BMO,GCH,0 - A qualifier,0.2,Non,NA,100.0,NA,NA,NA,NA,NA,PC BMO : Appel au bench à faire pour refondre le document Sodexho,2017-01-01T00:00:00Z,Transformation,Assurance,Covea,100.0,20.0,NA,NA,NA,NA,NA,1.0,2017-01-01
Covea,RFI Big Data,WBT,JDO,BES,3 - Emise,0.2,Oui,NA,0.0,NA,NA,NA,NA,NA,En partenariat avec Quiten,2017-01-01T00:00:00Z,Data,Banque,Covea,0.0,0.0,NA,2016-08-23T00:00:00Z,2016-09-06T00:00:00Z,NA,NA,1.0,2017-01-01
Covea,Covea - Transformation Direction AIS,WBT,ARE,GCH,3 - Emise,0.6,Non,COVxxx,200.0,NA,NA,NA,NA,NA,Report en 2017 (cobiz du 10/10),2017-01-01T00:00:00Z,Transformation,Assurance,Covea,200.0,120.0,2016-07-01T00:00:00Z,2016-07-19T00:00:00Z,2016-08-23T00:00:00Z,NA,NA,1.0,2017-01-01
Crédit Agricole Iles de France,Moteur de recommandation & DMP,WBan,JDO,BES,3 - Emise,0.4,Non,NA,70.0,NA,NA,NA,NA,NA,Propale envoyée suite à un rendez vous client réalisé avec A. Meyer,2017-01-01T00:00:00Z,Data,Banque,Crédit Agricole,70.0,28.0,NA,NA,2016-11-07T00:00:00Z,NA,NA,1.0,2017-01-01
DeFacto,Design Fiction ,WBT,NA,NA,0 - A qualifier,0.2,Oui,NA,NA,NA,NA,NA,0.0,NA,NA,2016-01-01T00:00:00Z,Digital Innovation,Industrie & services,NA,0.0,0.0,NA,NA,NA,NA,NA,1.0,2017-01-01
Econocom,Projet Dexia - Sell on PMO Progamme de migration Cloud,WBT,THU,OGR,4 - Gagnée,1.0,Oui,ECO001,24.599999999999998,NA,NA,NA,NA,NA,Closing2016/0411 : Echange prévu avec Econocom semaine du 7 novembre,2017-01-01T00:00:00Z,Transformation,Industrie & services,Econocom,24.599999999999998,24.599999999999998,NA,2016-10-28T00:00:00Z,NA,2016-11-09T00:00:00Z,NA,1.0,2017-01-01
EDF,Appui numérique à la DSPIT - Reconduction S1 2017,WBT,JLE,JSO,4 - Gagnée,1.0,Oui,WM/EDF021,168.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Energie,EDF,168.0,168.0,2016-11-02T00:00:00Z,2016-12-06T00:00:00Z,NA,2017-01-01T00:00:00Z,NA,1.0,2017-01-01
EDF,Appui numérique à la DSPIT,WBT,MBR,JSO,4 - Gagnée,1.0,Oui,WM/EDF021,15.0,NA,NA,NA,NA,NA,Gagné !,2017-01-01T00:00:00Z,Digital Innovation,Energie,EDF,15.0,15.0,2016-01-05T00:00:00Z,2016-01-05T00:00:00Z,2016-01-25T00:00:00Z,2016-02-13T00:00:00Z,NA,1.0,2017-01-01
EDF,Appui numérique à la DSPIT - Reconduction S2 2017,WBT,JLE,JSO,3 - Emise,0.6,Oui,WM/EDF021,120.0,NA,NA,NA,NA,NA,NA,NA,Digital Innovation,Energie,EDF,120.0,72.0,NA,NA,NA,NA,NA,1.0,2017-01-01
EDF - DSP,Renfort Communication,WBT,JSO,JSO,4 - Gagnée,1.0,Non,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Transformation,Energie,EDF,0.0,0.0,NA,2016-12-05T00:00:00Z,NA,2016-12-12T00:00:00Z,NA,1.0,2017-01-01
EDF - DSP IT,Appui à la transformation de SPENCER,WBT,JLE/NSE,JSO,4 - Gagnée,1.0,Non,WM/EDF025,60.0,NA,NA,NA,NA,NA,NSE - Lot Optionnel de 60 K€.,2017-01-01T00:00:00Z,Transformation,Energie,EDF,60.0,60.0,2016-11-03T00:00:00Z,2016-11-04T00:00:00Z,2016-11-04T00:00:00Z,2016-11-08T00:00:00Z,2017-06-01T00:00:00Z,1.0,2017-01-01
EDF - DSP-IT,Coaching DevOps,WBT,JLE,JSO,1 - Qualifiée,0.2,Oui,NA,35.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Energie,EDF,35.0,7.0,2016-12-08T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
